Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
236.0,1276.0,279.0,1072.0
237.0,1203.0,278.8,997.0
238.0,1161.0,278.4,933.0
239.0,1253.0,277.9,1018.0
240.0,1264.0,278.2,987.0
241.0,1191.0,279.0,913.0
242.0,1241.0,279.3,1040.0
243.0,1242.0,278.8,1040.0
244.0,1155.0,278.6,955.0
245.0,1205.0,278.1,1008.0
246.0,1289.0,278.2,1040.0
247.0,1226.0,278.8,933.0
248.0,1180.0,279.3,923.0
249.0,1251.0,278.8,1018.0
250.0,1220.0,278.7,997.0
251.0,1168.0,278.6,965.0
252.0,1255.0,278.3,1040.0
253.0,1289.0,278.3,1018.0
254.0,1198.0,278.8,913.0
255.0,1172.0,278.8,955.0
256.0,1242.0,278.7,1040.0
257.0,1214.0,278.6,997.0
258.0,1184.0,278.8,965.0
259.0,1260.0,278.6,1050.0
260.0,1267.0,278.7,1018.0
261.0,1172.0,278.6,913.0
262.0,1174.0,278.5,944.0
263.0,1255.0,278.1,1018.0
264.0,1241.0,278.3,987.0
265.0,1190.0,279.0,955.0
266.0,1261.0,279.0,1050.0
267.0,1261.0,278.8,1072.0
268.0,1162.0,278.7,944.0
269.0,1170.0,278.1,965.0
270.0,1261.0,277.8,1008.0
271.0,1253.0,278.3,965.0
272.0,1193.0,279.3,913.0
273.0,1251.0,279.1,1040.0
274.0,1245.0,278.7,1040.0
275.0,1159.0,278.6,965.0
276.0,1172.0,278.1,965.0
277.0,1270.0,278.0,1008.0
278.0,1253.0,278.4,965.0
279.0,1184.0,279.1,913.0
280.0,1228.0,279.4,997.0
281.0,1254.0,278.8,1050.0
282.0,1175.0,278.7,965.0
283.0,1179.0,278.4,976.0
284.0,1276.0,278.0,1018.0
285.0,1260.0,278.3,965.0
286.0,1187.0,278.9,913.0
287.0,1226.0,279.2,997.0
288.0,1240.0,278.8,1050.0
289.0,1173.0,278.6,955.0
290.0,1180.0,278.4,997.0
291.0,1281.0,278.3,1040.0
292.0,1267.0,278.3,997.0
293.0,1175.0,278.8,901.0
294.0,1185.0,278.8,965.0
295.0,1244.0,278.6,1029.0
296.0,1212.0,278.6,987.0
297.0,1184.0,278.8,955.0
298.0,1261.0,278.6,1029.0
299.0,1279.0,278.5,1018.0
300.0,1184.0,278.6,913.0
301.0,1170.0,278.6,933.0
302.0,1247.0,278.3,1008.0
303.0,1245.0,278.3,976.0
304.0,1190.0,279.0,933.0
305.0,1242.0,278.8,1018.0
306.0,1276.0,278.7,1072.0
307.0,1191.0,278.7,976.0
308.0,1150.0,278.2,913.0
309.0,1222.0,278.0,1008.0
310.0,1261.0,278.1,997.0
311.0,1210.0,278.8,913.0
312.0,1199.0,279.3,965.0
313.0,1265.0,279.1,1061.0
314.0,1241.0,278.8,1050.0
315.0,1151.0,278.8,955.0
316.0,1180.0,278.1,955.0
